distance,reward_mae,reward_rmse,reward_mae_sample_sd,reward_mae_shuffled_actions,baseline_reward_mae_mean,baseline_reward_mae_persistence,target_reward_sd,cont_mae,image_mae,baseline_image_mae_persistence
1,0.015872,0.027905,0.000150,0.015935,0.021439,0.005213,0.036144,0.000322,0.033085,0.011523
2,0.016008,0.028832,0.000144,0.016319,0.021453,0.008600,0.037091,0.000318,0.034654,0.019384
3,0.015832,0.028360,0.000149,0.016743,0.021459,0.010844,0.036213,0.000329,0.036366,0.025108
4,0.015415,0.028420,0.000158,0.016790,0.021076,0.013177,0.035947,0.000326,0.037895,0.029493
5,0.015265,0.027298,0.000225,0.016938,0.020740,0.015510,0.034099,0.000335,0.039206,0.032836
6,0.014585,0.024662,0.000358,0.016485,0.020006,0.017284,0.030723,0.000324,0.040359,0.035500
7,0.013707,0.022444,0.000390,0.015491,0.018658,0.018876,0.027919,0.000315,0.041245,0.037590
8,0.013426,0.022745,0.000333,0.015012,0.017604,0.020310,0.027613,0.000330,0.041910,0.039260
9,0.013524,0.021588,0.000254,0.014914,0.016784,0.020978,0.025047,0.000313,0.042526,0.040681
10,0.012842,0.020112,0.000165,0.014072,0.015257,0.021503,0.022620,0.000290,0.043112,0.041898
11,0.012811,0.019653,0.000335,0.013816,0.014592,0.022211,0.021056,0.000291,0.043536,0.042880
12,0.013683,0.025507,0.000351,0.014598,0.015699,0.022522,0.027089,0.000279,0.043822,0.043618
13,0.013801,0.024295,0.000287,0.014667,0.015690,0.022604,0.025673,0.000277,0.044142,0.044358
14,0.013774,0.024502,0.000286,0.014698,0.015573,0.021957,0.025311,0.000286,0.044406,0.045011
15,0.013938,0.024205,0.000296,0.015037,0.015810,0.022210,0.025239,0.000291,0.044719,0.045688
16,0.014876,0.025445,0.000282,0.016029,0.016482,0.023128,0.026730,0.000276,0.045120,0.046328
17,0.014554,0.024318,0.000286,0.015790,0.016057,0.023732,0.025544,0.000276,0.045515,0.046921
18,0.013820,0.023343,0.000363,0.015207,0.015348,0.024409,0.023836,0.000277,0.045975,0.047517
19,0.013228,0.021907,0.000414,0.015036,0.014954,0.024193,0.022310,0.000279,0.046408,0.047956
20,0.013309,0.021588,0.000327,0.014915,0.014865,0.024136,0.021390,0.000282,0.046776,0.048440
21,0.012957,0.021228,0.000246,0.014714,0.014712,0.023882,0.020587,0.000279,0.047138,0.048816
22,0.013175,0.022744,0.000202,0.014855,0.014610,0.024304,0.022052,0.000262,0.047418,0.049156
23,0.013624,0.023479,0.000287,0.015065,0.015159,0.024228,0.023034,0.000272,0.047666,0.049256
24,0.013949,0.024886,0.000457,0.015750,0.015898,0.025029,0.024922,0.000269,0.047855,0.049449
25,0.013651,0.025008,0.000509,0.015626,0.016057,0.024910,0.025099,0.000260,0.048052,0.049675
26,0.013989,0.025720,0.000429,0.015873,0.016135,0.025179,0.025516,0.000262,0.048400,0.050049
27,0.014431,0.026312,0.000349,0.016185,0.016262,0.025843,0.026101,0.000251,0.048591,0.050333
28,0.013892,0.024649,0.000234,0.015452,0.015294,0.025566,0.024256,0.000256,0.048657,0.050556
29,0.014111,0.024516,0.000290,0.015672,0.015701,0.025352,0.024309,0.000256,0.048837,0.050690
30,0.013482,0.023073,0.000317,0.015425,0.015690,0.024658,0.023541,0.000253,0.048949,0.050719
