step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
0,0.61,1143.479004,1131.263306,5.541264,0.81306,5.328457,5.328457,5.328457,5.328457,42.820461,40.835548,0.030075,0.543135,6893.987305
25,6.039,1063.363281,1051.138794,5.540864,0.817224,5.332994,5.332994,5.332994,5.332994,42.835136,40.819611,0.030191,0.545505,6563.516602
50,11.539,1040.502563,1028.44043,5.538728,0.814344,5.190031,5.190031,5.190031,5.190031,42.854599,40.938824,0.028396,0.543702,6279.757324
75,16.964,987.024414,975.341431,5.533723,0.780359,4.880785,4.880785,4.880785,4.880785,42.865891,41.186096,0.029924,0.52901,5985.638672
100,22.394,998.300049,986.762878,5.525254,0.77275,4.762877,4.762877,4.762877,4.762877,42.690231,41.57,0.030252,0.526557,5970.596191
125,27.83,865.295471,854.458862,5.513071,0.728363,4.177486,4.177486,4.177486,4.177486,42.472473,42.270206,0.028241,0.505919,5138.600586
150,33.277,798.223328,787.426636,5.495629,0.664462,4.215061,4.215061,4.215061,4.215061,41.775406,42.787457,0.030117,0.474312,4696.736328
175,38.814,723.290894,712.057068,5.470928,0.60707,4.687158,4.687158,4.687158,4.687158,40.597809,43.1511,0.028086,0.445323,4177.390137
200,44.269,631.430237,619.277832,5.437786,0.506261,5.643944,5.643944,5.643944,5.643944,38.867474,43.367676,0.028443,0.388959,3609.601807
225,49.712,561.129639,548.147095,5.395505,0.424655,6.511236,6.511236,6.511236,6.511236,37.078819,43.357643,0.030379,0.337902,3157.150635
250,55.239,480.88147,467.289368,5.346373,0.33622,7.190451,7.190451,7.190451,7.190451,35.447403,43.057987,0.03008,0.278198,2640.096191
275,60.673,448.33963,434.821289,5.290004,0.257053,7.246615,7.246615,7.246615,7.246615,34.423256,42.633751,0.028553,0.219173,2446.320557
300,66.085,410.201843,397.317566,5.228843,0.191858,6.785067,6.785067,6.785067,6.785067,33.91597,42.189152,0.028588,0.166671,2257.760254
325,71.579,371.769958,359.648407,5.162993,0.150078,6.189516,6.189516,6.189516,6.189516,33.564392,41.678146,0.027771,0.130865,1974.548828
350,76.98,343.827026,332.201355,5.09217,0.117029,5.83316,5.83316,5.83316,5.83316,33.153503,41.244095,0.030048,0.101263,1826.338745
375,82.376,305.881561,294.628601,5.017263,0.095087,5.582367,5.582367,5.582367,5.582367,32.811974,40.831299,0.029141,0.080851,1506.327393
400,87.779,288.541962,277.666016,4.938839,0.078123,5.326351,5.326351,5.326351,5.326351,32.600868,40.4711,0.028649,0.064602,1277.985352
425,93.183,269.13208,258.596619,4.856936,0.066701,5.101642,5.101642,5.101642,5.101642,32.393002,40.213623,0.030938,0.053416,1181.203369
