step,policy_loss,entropy,logp_mean,adv_mag,retnorm_scale
0,-0.009721,7.832615,-7.8387,0.500572,1.0
10,-0.023589,7.81476,-7.9219,0.500572,1.0
20,-0.074294,7.567741,-8.4607,0.500572,1.0
30,-0.193771,6.521908,-10.0709,0.500572,1.0
40,-0.866674,3.231881,-22.9495,0.500572,1.0
50,-4.023144,-0.313213,-79.6776,0.500572,1.0
60,-10.122875,-2.410163,-180.629,0.500572,1.0
70,-16.492828,-3.341865,-273.5283,0.500572,1.0
80,-20.809465,-3.125393,-308.6119,0.499766,1.001613
90,-21.942202,-3.217383,-339.7095,0.464439,1.077799
99,-21.708836,-2.946499,-345.1618,0.439053,1.140117
