segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,5800,50,20.195,0.0,824.450012,804.868347,5.538788,0.796219,8.465038,8.465038,8.465038,8.465038,0.033621,0.533433,-0.000137,7.833313,1.6e-05,-7.833485,1.0,0.055217,0.611734,2e-05,4e-06,1.6e-05,15360.0,11.078519,2.2e-05,0.462419,0.462397,1008.0,848.133789,1024.0,1024.0,5838.142578,5800,64.0,1999.3
0,6600,100,33.983,0.0,775.56604,758.051758,5.524829,0.728797,6.612859,6.612859,6.612859,6.612859,0.032246,0.502471,-0.000193,7.835831,9.9e-05,-7.806958,1.0,0.060545,0.669502,0.000129,3e-05,9.9e-05,15360.0,11.057148,0.000139,0.432891,0.432752,1008.0,929.970581,1024.0,1024.0,5714.882812,6600,64.0,1999.3
0,7400,150,47.787,0.0,656.233154,640.481812,5.494991,0.610963,5.007844,5.007844,5.007844,5.007844,0.031619,0.443243,-0.000359,7.841269,0.000284,-7.823202,1.0,0.075719,0.833763,0.000388,0.000104,0.000284,15360.0,11.011191,0.000401,0.419409,0.419008,1008.0,1163.046875,1024.0,1024.0,4974.691895,7400,64.0,1999.3
0,8200,200,61.611,0.0,505.802368,490.132599,5.442076,0.438972,4.79468,4.79468,4.79468,4.79468,0.03182,0.344814,-0.000847,7.852365,0.000596,-7.849465,1.0,0.113038,1.235625,0.000906,0.00031,0.000596,15360.0,10.932671,0.00092,0.440705,0.439785,1008.0,1736.25769,1024.0,1024.0,3693.737793,8200,64.0,1999.3
0,9000,250,75.348,0.0,385.556854,368.706421,5.361581,0.265086,5.302221,5.302221,5.302221,5.302221,0.031288,0.224343,-0.001921,7.872743,0.000809,-7.880849,1.0,0.199057,2.150844,0.001653,0.000844,0.000809,15360.0,10.808152,0.001678,0.425602,0.423924,1008.0,3057.509766,1024.0,1024.0,2105.949463,9000,64.0,1999.3
0,9800,300,89.117,0.0,293.431183,274.087189,5.257114,0.154471,6.491563,6.491563,6.491563,6.491563,0.033417,0.134496,-0.002875,7.905625,0.000664,-7.919432,1.0,0.339059,3.602805,0.002636,0.001975,0.000664,15360.0,10.639169,0.002679,0.470106,0.467427,1008.0,5207.945312,1024.0,1024.0,686.02948,9800,64.0,1999.3
0,10600,350,102.956,0.0,237.110962,217.289734,5.126205,0.098259,5.928793,5.928793,5.928793,5.928793,0.031106,0.083834,-0.001994,7.946944,0.000247,-7.963284,1.0,0.47696,4.953164,0.003919,0.003719,0.000247,15360.0,10.413079,0.003967,0.455582,0.451615,1008.0,7326.098145,1024.0,1024.0,417.137329,10600,64.0,1999.3
0,11400,400,116.769,0.0,200.850784,181.555206,4.970873,0.071765,4.749578,4.749578,4.749578,4.749578,0.029993,0.058408,0.002518,7.988244,0.00075,-7.971984,1.0,0.591988,5.982475,0.005492,0.006239,0.00075,15360.0,10.1447,0.005538,0.421426,0.415888,1008.0,9092.936523,1024.0,1024.0,230.928986,11400,64.0,1999.3
0,12200,450,130.461,0.0,198.698273,180.29274,4.798236,0.055494,3.517763,3.517763,3.517763,3.517763,0.029121,0.042162,0.011244,8.027229,0.002164,-8.009025,1.0,0.684154,6.70799,0.007236,0.0094,0.002164,15360.0,9.876781,0.007272,0.427221,0.419949,1008.0,10508.605469,1024.0,1024.0,384.976349,12200,64.0,1999.3
0,13000,500,144.206,0.0,183.26564,165.575867,4.613006,0.045123,2.781374,2.781374,2.781374,2.781374,0.029515,0.031413,0.023455,8.063391,0.003938,-8.036896,1.0,0.746947,7.080559,0.009266,0.013204,0.003938,15360.0,9.560385,0.009292,0.430074,0.420782,1008.0,11473.099609,1024.0,1024.0,333.694244,13000,64.0,1999.3
0,13800,550,157.788,0.0,168.751862,151.506729,4.418049,0.04028,2.563493,2.563493,2.563493,2.563493,0.029248,0.026245,0.040642,8.096117,0.006346,-8.07785,1.0,0.784963,7.161731,0.01201,0.018356,0.006346,15360.0,9.215277,0.012027,0.420531,0.408504,1008.0,12057.037109,1024.0,1024.0,139.321823,13800,64.0,1999.3
0,14600,600,171.567,0.0,166.19548,148.318878,4.214361,0.038312,3.491721,3.491721,3.491721,3.491721,0.029347,0.024112,0.062292,8.126677,0.009303,-8.135352,1.0,0.808896,7.065185,0.015424,0.024727,0.009303,15360.0,8.851937,0.015426,0.458363,0.442936,1008.0,12424.634766,1024.0,1024.0,125.853584,14600,64.0,1999.3
0,15400,650,185.332,0.0,169.958923,151.744064,3.995376,0.035326,4.22287,4.22287,4.22287,4.22287,0.026951,0.020816,0.091234,8.154111,0.013169,-8.151949,1.0,0.831533,6.908588,0.019761,0.03293,0.013169,15360.0,8.463926,0.019754,0.456317,0.436563,1008.0,12772.344727,1024.0,1024.0,143.936356,15400,64.0,1999.3
