env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
5800,50,23.513,919.922791,903.658447,5.537974,0.648714,5.326835,5.326835,5.326835,5.326835,0.038127,0.464821,-4.3e-05,1.305699,9.3e-05,-1.315407,1.0,0.080813,0.895153,0.000122,2.8e-05,9.3e-05,15360.0,11.076785,0.000134,0.520882,0.520749,1008.0,1241.285034,1024.0,1024.0,4426.320801,5800,64.0,1997.2
6600,100,40.509,868.655701,852.671692,5.520754,0.613222,5.043993,5.043993,5.043993,5.043993,0.04211,0.446142,-0.000114,1.306164,0.000601,-1.306222,1.0,0.08943,0.987877,0.000795,0.000195,0.000601,15360.0,11.046329,0.000844,0.498234,0.497395,1008.0,1373.641479,1024.0,1024.0,4019.093018,6600,64.0,1997.2
7400,150,57.619,786.788086,770.491821,5.486719,0.512629,5.264812,5.264812,5.264812,5.264812,0.035568,0.389752,-0.000282,1.306954,0.001427,-1.308035,1.0,0.110246,1.210869,0.002003,0.000578,0.001427,15360.0,10.983409,0.002102,0.510897,0.508806,1008.0,1693.37854,1024.0,1024.0,3440.9021,7400,64.0,1997.2
8200,200,74.642,673.014221,655.611511,5.430353,0.366508,6.039034,6.039034,6.039034,6.039034,0.037229,0.297309,-0.000661,1.308528,0.002486,-1.319971,1.0,0.156306,1.700055,0.003935,0.001449,0.002486,15360.0,10.878283,0.004091,0.525475,0.521399,1008.0,2400.864502,1024.0,1024.0,3150.946289,8200,64.0,1997.2
9000,250,91.554,503.380341,484.227356,5.345947,0.198746,6.678452,6.678452,6.678452,6.678452,0.029683,0.171805,-0.001416,1.311506,0.002971,-1.312876,1.0,0.28405,3.045555,0.006807,0.003838,0.002971,15360.0,10.726235,0.007027,0.401975,0.39501,1008.0,4363.012695,1024.0,1024.0,3487.370605,9000,64.0,1997.2
9800,300,108.352,300.671936,279.68927,5.234071,0.113417,7.003455,7.003455,7.003455,7.003455,0.029355,0.097831,-0.001559,1.316253,0.002024,-1.313816,1.0,0.453973,4.774192,0.009865,0.007854,0.002024,15360.0,10.529137,0.010093,0.422457,0.412376,1008.0,6973.029297,1024.0,1024.0,3177.968506,9800,64.0,1997.2
10600,350,125.03,163.542511,142.463577,5.097302,0.078502,6.319211,6.319211,6.319211,6.319211,0.02532,0.06495,-0.000646,1.321854,0.000671,-1.325817,1.0,0.571634,5.866537,0.013393,0.012899,0.000671,15360.0,10.286944,0.013586,0.391354,0.377857,1008.0,8780.290039,1024.0,1024.0,1589.21521,10600,64.0,1997.2
11400,400,141.719,110.359741,89.771912,4.943738,0.058525,5.388259,5.388259,5.388259,5.388259,0.026252,0.045225,0.001542,1.327832,0.001858,-1.339144,1.0,0.667389,6.652391,0.01673,0.018576,0.001858,15360.0,10.015149,0.016888,0.434464,0.417576,1008.0,10251.095703,1024.0,1024.0,621.38855,11400,64.0,1997.2
12200,450,158.452,86.758125,66.713623,4.771964,0.044462,4.629203,4.629203,4.629203,4.629203,0.026805,0.030705,0.005062,1.333879,0.005025,-1.334716,1.0,0.749449,7.223251,0.020841,0.025866,0.005025,15360.0,9.692118,0.020979,0.388781,0.367802,1008.0,11511.53125,1024.0,1024.0,402.774139,12200,64.0,1997.2
13000,500,175.24,64.754906,45.723862,4.585396,0.036915,3.770744,3.770744,3.770744,3.770744,0.031758,0.022569,0.009442,1.339827,0.008675,-1.3404,1.0,0.802053,7.436558,0.025918,0.034593,0.008675,15360.0,9.38306,0.026029,0.513271,0.487242,1008.0,12319.538086,1024.0,1024.0,260.489868,13000,64.0,1997.2
13800,550,191.968,59.21162,41.355377,4.388205,0.032178,2.98848,2.98848,2.98848,2.98848,0.033072,0.017234,0.015168,1.344654,0.013114,-1.353174,1.0,0.838232,7.428996,0.031085,0.044199,0.013114,15360.0,9.014565,0.031185,0.538594,0.507409,1008.0,12875.245117,1024.0,1024.0,104.654419,13800,64.0,1997.2
14600,600,209.031,53.407738,36.857147,4.179846,0.029407,2.233478,2.233478,2.233478,2.233478,0.042149,0.014009,0.021501,1.349313,0.018007,-1.356957,1.0,0.863143,7.259185,0.036736,0.054744,0.018007,15360.0,8.679414,0.036825,0.683988,0.647162,1008.0,13257.875,1024.0,1024.0,60.232864,14600,64.0,1997.2
15400,650,226.164,47.256977,31.982651,3.960413,0.027717,1.63722,1.63722,1.63722,1.63722,0.04075,0.011973,0.028282,1.353159,0.023414,-1.343736,1.0,0.881061,6.974627,0.043278,0.066692,0.023414,15360.0,8.274486,0.043341,0.696754,0.653414,1008.0,13533.101562,1024.0,1024.0,49.549938,15400,64.0,1997.2
16200,700,243.304,49.835018,35.786503,3.739005,0.026569,1.154575,1.154575,1.154575,1.154575,0.047195,0.01054,0.036677,1.355677,0.03,-1.346515,1.0,0.894347,6.602555,0.050698,0.080698,0.03,15360.0,7.912254,0.05075,0.811277,0.760527,1008.0,13737.169922,1024.0,1024.0,69.163376,16200,64.0,1997.2
17000,750,260.412,38.811443,25.820501,3.462692,0.025132,1.020771,1.020771,1.000362,1.000362,0.022317,0.008695,0.048935,1.35904,0.038823,-1.366585,1.0,0.906486,6.172421,0.059807,0.09863,0.038823,15360.0,7.196371,0.059854,0.496871,0.437017,1008.0,13923.628906,1024.0,1024.0,34.419865,17000,64.0,1997.2
17800,800,277.369,39.603165,27.423428,3.201767,0.024298,1.01767,1.01767,0.996092,0.996092,0.030797,0.007567,0.06292,1.361308,0.049628,-1.361574,1.0,0.914873,5.672378,0.066542,0.11617,0.049628,15360.0,6.996465,0.066582,0.670059,0.603477,1008.0,14052.441406,1024.0,1024.0,27.928251,17800,64.0,1997.2
18600,850,294.195,41.863113,30.290142,2.936609,0.02394,1.296952,1.296952,1.285279,1.285279,0.034558,0.007075,0.080366,1.362831,0.063343,-1.357214,1.0,0.921312,5.129689,0.075145,0.138488,0.063343,15360.0,6.585724,0.075161,0.765633,0.690471,1008.0,14151.351562,1024.0,1024.0,37.058033,18600,64.0,1997.2
19400,900,311.04,36.361767,25.39164,2.65356,0.023491,1.556745,1.556745,1.556387,1.556387,0.026272,0.006429,0.104057,1.362479,0.08095,-1.366488,1.0,0.925866,4.63195,0.086878,0.167828,0.08095,15360.0,6.148834,0.08689,0.668018,0.581128,1008.0,14221.303711,1024.0,1024.0,24.563206,19400,64.0,1997.2
20200,950,327.911,33.742142,22.965782,2.37391,0.023373,2.018308,2.018308,2.018308,2.018308,0.037074,0.006254,0.13492,1.365252,0.104803,-1.366027,1.0,0.927892,4.182331,0.106873,0.211676,0.104803,15360.0,6.13896,0.106877,0.944623,0.837746,1008.0,14252.426758,1024.0,1024.0,25.323555,20200,64.0,1997.2
21000,1000,344.927,35.484154,25.34586,2.127203,0.023406,2.169288,2.169288,2.160324,2.160324,0.032894,0.006279,0.175216,1.368801,0.134585,-1.376485,1.0,0.92997,3.731576,0.137241,0.271826,0.134585,15360.0,5.648924,0.137242,0.899354,0.762112,1008.0,14284.338867,1024.0,1024.0,28.389996,21000,64.0,1997.2
21800,1050,361.803,32.601944,23.454231,1.84329,0.023242,1.962364,1.962364,1.925981,1.925981,0.031972,0.006012,0.21712,1.371225,0.167,-1.369915,1.0,0.932729,3.357912,0.17671,0.343711,0.167,15360.0,5.158482,0.176707,0.868022,0.691315,1008.0,14326.716797,1024.0,1024.0,22.376459,21800,64.0,1997.2
22600,1100,378.927,32.753643,24.01635,1.60567,0.023165,2.008436,2.008436,1.993541,1.993541,0.034044,0.005902,0.253335,1.366542,0.194563,-1.375964,1.0,0.93389,3.132898,0.2176,0.412163,0.194563,15360.0,5.043157,0.217595,1.026675,0.80908,1008.0,14344.552734,1024.0,1024.0,27.533104,22600,64.0,1997.2
23400,1150,396.256,35.001728,26.205271,1.415592,0.023291,2.312246,2.312246,2.306915,2.306915,0.036283,0.00607,0.278926,1.352836,0.218155,-1.351655,1.0,0.933148,3.096338,0.262715,0.48087,0.218155,15360.0,4.796126,0.262712,1.028991,0.766279,1008.0,14333.157227,1024.0,1024.0,37.569016,23400,64.0,1997.2
24200,1200,413.131,27.626019,19.440655,1.259232,0.022329,1.803561,1.803561,1.774812,1.774812,0.034,0.00461,0.306692,1.362848,0.237919,-1.355723,1.0,0.942252,3.102772,0.315673,0.553592,0.237919,15360.0,5.03474,0.315672,1.196559,0.880887,1008.0,14472.986328,1024.0,1024.0,31.030861,24200,64.0,1997.2
25000,1250,429.906,23.396126,15.769801,1.093827,0.022368,1.561537,1.561537,1.535426,1.535426,0.034524,0.004606,0.318363,1.364314,0.244188,-1.363667,1.0,0.942677,3.007561,0.364187,0.608375,0.244188,15360.0,4.888385,0.364193,1.266332,0.90214,1008.0,14479.519531,1024.0,1024.0,24.879953,25000,64.0,1997.2
