env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
5800,50,23.785,783.695984,765.174316,5.538446,0.924218,7.450034,7.450034,7.450034,7.450034,0.029973,0.588649,-0.000127,7.83485,3e-05,-7.84237,1.0,0.048872,0.541296,3.6e-05,6e-06,3e-05,15360.0,11.076083,3.6e-05,0.396072,0.396037,1008.0,750.667847,1024.0,1024.0,4053.158691,5800,64.0,1999.3
6600,100,40.783,769.756653,752.163147,5.523715,0.826986,6.612758,6.612758,6.612758,6.612758,0.029092,0.548821,-0.000232,7.837069,0.000185,-7.851342,1.0,0.059432,0.656233,0.000236,5.1e-05,0.000185,15360.0,11.04262,0.000236,0.392494,0.392258,1008.0,912.869873,1024.0,1024.0,4164.65625,6600,64.0,1999.3
7400,150,58.011,738.163574,721.194275,5.493139,0.705017,6.093964,6.093964,6.093964,6.093964,0.028869,0.494341,-0.000471,7.841379,0.000505,-7.836679,1.0,0.070757,0.776348,0.00067,0.000166,0.000505,15360.0,10.972872,0.000679,0.407302,0.406623,1008.0,1086.822754,1024.0,1024.0,4223.004395,7400,64.0,1999.3
8200,200,74.911,620.887146,604.563354,5.439316,0.538938,5.516784,5.516784,5.516784,5.516784,0.029812,0.407092,-0.001027,7.850042,0.000981,-7.844348,1.0,0.094061,1.021139,0.001393,0.000411,0.000981,15360.0,10.856234,0.001431,0.406503,0.405072,1008.0,1444.771484,1024.0,1024.0,3865.571777,8200,64.0,1999.3
9000,250,91.697,470.139801,454.023193,5.357675,0.349945,5.038638,5.038638,5.038638,5.038638,0.031689,0.287435,-0.002281,7.868851,0.00139,-7.846006,1.0,0.155137,1.659328,0.002379,0.000989,0.00139,15360.0,10.698143,0.002437,0.430178,0.427741,1008.0,2382.911621,1024.0,1024.0,3050.242188,9000,64.0,1999.3
9800,300,108.507,392.807587,376.359772,5.250201,0.205298,4.604263,4.604263,4.604263,4.604263,0.027686,0.177887,-0.004223,7.900867,0.001472,-7.885173,1.0,0.265032,2.781107,0.003807,0.002335,0.001472,15360.0,10.502456,0.003866,0.385205,0.381339,1008.0,4070.88623,1024.0,1024.0,2199.863525,9800,64.0,1999.3
10600,350,125.3,325.476898,308.948364,5.118053,0.137235,3.877456,3.877456,3.877456,3.877456,0.02735,0.119634,-0.004702,7.940516,0.001068,-7.944564,1.0,0.383425,3.930378,0.005531,0.004464,0.001068,15360.0,10.274527,0.00557,0.385318,0.379748,1008.0,5889.408203,1024.0,1024.0,1379.018188,10600,64.0,1999.3
11400,400,141.878,284.188477,266.981384,4.966087,0.106833,3.88008,3.88008,3.88008,3.88008,0.031801,0.091919,-0.002181,7.981058,0.000315,-7.999569,1.0,0.488152,4.864132,0.007373,0.007145,0.000315,15360.0,10.013817,0.007403,0.4512,0.443797,1008.0,7498.014648,1024.0,1024.0,863.87384,11400,64.0,1999.3
12200,450,158.607,224.85524,207.347168,4.794478,0.071256,3.395654,3.395654,3.395654,3.395654,0.034351,0.057953,0.007034,8.021541,0.001554,-8.008492,1.0,0.621729,5.985439,0.009946,0.011499,0.001554,15360.0,9.715447,0.009972,0.483808,0.473835,1008.0,9549.763672,1024.0,1024.0,689.528259,12200,64.0,1999.3
13000,500,175.283,209.4608,192.087189,4.613451,0.052704,3.010599,3.010599,3.010599,3.010599,0.030851,0.039345,0.019374,8.06106,0.00343,-8.046289,1.0,0.710303,6.569071,0.012953,0.016383,0.00343,15360.0,9.357862,0.012982,0.447425,0.434443,1008.0,10910.246094,1024.0,1024.0,437.001343,13000,64.0,1999.3
